molecule_chembl_id,canonical_smiles,standard_value
CHEMBL207671,N[C@H](COc1cncc(Nc2cccnc2)c1)Cc1c[nH]c2ccccc12,2160.0
CHEMBL383223,N[C@H](COc1cncc(Nc2ccncc2)c1)Cc1c[nH]c2ccccc12,2860.0
CHEMBL207530,N[C@H](COc1cncc(-c2nc(-c3cccnc3)cs2)c1)Cc1ccccc1,9350.0
CHEMBL377771,N[C@H](COc1cncc(-c2nc(-c3ccncc3)cs2)c1)Cc1ccccc1,9870.0
CHEMBL414861,N[C@H](COc1cncc(NC(=O)c2ccncc2)c1)Cc1ccccc1,31950.0
CHEMBL208499,N[C@H](COc1cncc(C(=O)Nc2ccncc2)c1)Cc1c[nH]c2ccccc12,2020.0
CHEMBL205349,N[C@H](COc1cncc(C#Cc2cccnc2)c1)Cc1c[nH]c2ccccc12,25200.0
CHEMBL206208,N[C@H](COc1cncc(C#Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,210.0
CHEMBL380196,Nc1c(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccc2cnccc12,15.0
CHEMBL210390,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,3.4
CHEMBL378211,N[C@H](COc1cncc(-c2ccc3cnc(C#Cc4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12,56.0
CHEMBL378714,CC#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,180.0
CHEMBL209564,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccncc4)cc3c2)c1)Cc1c[nH]c2ccccc12,122.0
CHEMBL210544,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12,305.0
CHEMBL210333,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccco4)cc3c2)c1)Cc1c[nH]c2ccccc12,57.0
CHEMBL377764,C=Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,22.0
CHEMBL206924,CCc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,144.0
CHEMBL381273,N#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,640.0
CHEMBL210783,N[C@H](COc1cncc(-c2ccc3cnc(Cl)cc3c2)c1)Cc1c[nH]c2ccccc12,407.0
CHEMBL210246,N[C@H](COc1cncc(-c2ccc3cnc(F)cc3c2)c1)Cc1c[nH]c2ccccc12,3.5
CHEMBL208962,Nc1nccc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc12,160.0
CHEMBL210337,COc1nccc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc12,39500.0
CHEMBL208014,N[C@H](COc1cncc(-c2ccc3c(Cl)nccc3c2)c1)Cc1c[nH]c2ccccc12,778.0
CHEMBL207215,N[C@H](COc1cncc(-c2ccc3c(O)nccc3c2)c1)Cc1c[nH]c2ccccc12,1240.0
CHEMBL210093,N[C@H](COc1cncc(-c2ccc3c(F)nccc3c2)c1)Cc1c[nH]c2ccccc12,227.0
CHEMBL210628,N#C/C=C/c1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1,697.0
CHEMBL378116,Cc1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1,84.0
CHEMBL210089,N[C@H](COc1cc(-c2ccc3cnccc3c2)cnc1Cl)Cc1c[nH]c2ccccc12,12.0
CHEMBL207545,N[C@H](COc1cnc(C#Cc2ccccc2)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,1240.0
CHEMBL207544,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,0.8
CHEMBL378843,N[C@H](COc1cnc(-c2ccco2)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,1.5
CHEMBL209513,C=Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,2.0
CHEMBL379209,N#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,4.6
CHEMBL378963,N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,1.8
CHEMBL208961,Cc1cc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc2ccncc12,995.0
CHEMBL210954,CC(C)(Cc1ccco1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21,2500.0
CHEMBL209826,CC(C)(Cc1cccs1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21,0.9
